speaker,class,word_1,word_2,answer_1,answer_2,acc_1,acc_2,sonority,conf_1,conf_2,pair
EB,DIFF,translation,position,DESTRUCTION,TRANSLATION,1,0,more,3,1,49
EB,DIFF,reminders,detenders,ATTENDANCE,REMINDER,0,0,none,3,2,50
EB,SIM,important,suggestor,REPORTER,INSTRUCTOR,0,0,none,2,1,51
EB,SIM,companion,distinction,COMPANION,DISTINCTION,1,1,both,3,3,52
EB,DIFF,replacement,deponent,CONNECTION,REPLACEMENT,1,0,more,3,1,53
EB,SIM,aderver,prosition,PRODUCER,OBSERVER,0,0,none,2,1,54
EB,SIM,causition,discussion,CONFESSION,RESISTANCE,0,0,none,2,2,55
EB,DIFF,relation,colation,CONDITION,RELATION,1,0,more,3,1,56
EB,DIFF,dispressure,~haser,EXPRESSION,BEHAVIOR,0,0,none,2,1,57
EB,DIFF,displation,translation,DESTRUCTION,TRANSLATION,0,1,more,2,3,58
EB,DIFF,perportise,null,OBJECTIVE,PERFORMANCE,0,0,none,2,0,59
EB,SIM,proposal,reposing,REPORTING,PROPOSAL,1,0,more,2,1,60
EB,SIM,prosition,suggestion,POSITION,SUGGESTION,0,1,more,2,3,61
EB,SIM,expression,beginnering,BEGINNING,EXPRESSION,1,0,more,2,2,62
EB,DIFF,detenders,reminder,ATTENDANCE,REMINDER,0,1,more,2,3,63
EB,SIM,distinction,accounting,ACCOUNTING,RESTRICTION,0,1,less,2,3,64
EB,SIM,progester,division,DISASTER,PROVISION,0,0,none,2,2,65
EB,SIM,perspective,religious,RELIGION,PERSPECTIVE,1,0,more,3,2,66
EB,DIFF,position,desanway,POSITION,DESIGNER,1,0,less,3,1,67
EB,SIM,implasion,innotation,INFLATION,ENCOUNTER,0,0,none,2,1,68
EB,SIM,selection,conjection,COLLECTION,SELECTION,1,0,more,3,2,69
EB,DIFF,commission,displation,COMMISSION,FRUSTRATION,1,0,less,3,2,70
EB,SIM,prostration,descration,VACATION,FRUSTRATION,0,0,none,2,2,71
EB,DIFF,description,donation,DESCRIPTION,DONATION,1,1,both,3,2,72
EB,DIFF,persistent,advisor,ASSISTANT,PROVIDER,0,0,none,3,2,73
EB,SIM,agreement,ungradent,AGREEMENT,DIRECTOR,1,0,less,3,1,74
EB,SIM,recording,assisment,RECORDING,EXCITEMENT,1,0,less,3,2,75
EB,DIFF,arisen,posation,OBJECTION,HORIZON,0,0,none,2,1,76
EB,DIFF,prosition,banana,BANANA,FORMATION,0,1,less,2,3,77
EB,SIM,selection,deluser,COLLECTOR,ILLUSION,0,0,none,1,2,78
EB,SIM,in,ingation,INVENTION,REDUCTION,0,0,none,0,1,79
EB,SIM,perponent,proposal,PROFESSOR,OPPONENT,0,0,none,2,2,80
EB,SIM,duratial,deposite,ADVENTURE,DIRECTION,0,0,none,2,1,81
EB,SIM,deny,ingition,DENIAL,MUSICIAN,0,0,none,3,2,82
EB,SIM,connector,ingestion,PROJECTION,INVESTOR,0,0,none,1,2,83
EB,SIM,transition,composion,CONSUMPTION,TRANSITION,1,0,more,3,1,84
EB,DIFF,inhoil,suggestion,SUGGESTION,EMPLOYER,0,1,less,2,2,85
EB,SIM,arrangement,survival,SURVIVAL,ARRANGEMENT,1,1,both,3,3,86
EB,DIFF,survival,surgention,ADVENTURE,SURVIVOR,0,0,none,3,2,87
EB,DIFF,requirment,~cosition,PROFESSION,REQUIREMENT,1,0,more,3,2,88
EB,SIM,approval,disclosure,APPROVAL,DISORDER,1,0,less,3,2,89
EB,DIFF,creation,~bamon,DILEMMA,CREATION,1,0,more,3,1,90
EB,DIFF,extinction,outsier,EXTENSION,OUTSIDER,0,0,none,3,2,91
EB,DIFF,division,null,DIVISION,VACATION,1,0,less,2,1,92
EB,DIFF,intermission,survival,ADMISSION,SURVIVAL,0,1,more,3,2,93
EB,DIFF,performer,indivisial,OFFICIAL,PERFORMER,1,0,more,3,2,94
EB,SIM,collection,construction,CORRUPTION,CONSTRUCTION,0,1,more,2,3,95
EB,DIFF,location,clocation,CONFESSION,LOCATION,1,0,more,3,2,96
EB,DIFF,innovation,tranvation,INVENTION,FOUNDATION,0,0,none,1,2,97
EB,DIFF,intention,intainer,INTENTION,CONTAINER,1,0,less,3,2,98
EB,DIFF,arrangement,null,COLLECTION,ARRANGEMENT,1,0,more,3,1,99
EB,DIFF,deposit,deposit,DEPOSIT,REPORTING,1,0,less,3,2,100
HY,DIFF,requirement,null,PROFESSION,REQUIREMENT,1,0,more,3,0,101
HY,DIFF,outsider,essential,EXTENSION,OUTSIDER,1,0,more,1,1,102
HY,DIFF,expression,pleasure,EXPRESSION,BEHAVIOR,1,0,less,2,2,103
HY,DIFF,division,vacation,DIVISION,VACATION,1,1,both,2,2,104
HY,DIFF,assistant,devided,ASSISTANT,PROVIDER,1,0,less,2,1,105
HY,DIFF,relation,correlation,CONDITION,RELATION,1,0,more,2,1,106
HY,DIFF,attendence,admirer,ATTENDANCE,REMINDER,1,0,less,2,2,107
HY,DIFF,description,donation,DESCRIPTION,DONATION,1,1,both,2,2,108
HY,DIFF,foundation,null,INVENTION,FOUNDATION,1,0,more,2,0,109
HY,DIFF,arrangement,null,COLLECTION,ARRANGEMENT,1,0,more,2,0,110
HY,DIFF,null,null,OBJECTIVE,PERFORMANCE,0,0,none,0,0,111
HY,DIFF,deposit,re,DEPOSIT,REPORTING,1,0,less,1,1,112
HY,DIFF,location,vacation,CONFESSION,LOCATION,1,0,more,2,1,113
HY,DIFF,stration,con,COMMISSION,FRUSTRATION,0,0,none,1,1,114
HY,DIFF,survival,adventure,ADVENTURE,SURVIVOR,0,1,less,3,3,115
HY,DIFF,transportation,null,DESTRUCTION,TRANSLATION,0,0,none,2,0,116
HY,DIFF,position,resigning,POSITION,DESIGNER,1,0,less,2,1,117
HY,DIFF,intermission,null,ADMISSION,SURVIVAL,0,0,none,1,0,118
HY,DIFF,suggestion,null,SUGGESTION,EMPLOYER,1,0,less,2,0,119
HY,DIFF,amendment,contagious,INTENTION,CONTAINER,0,0,none,0,0,120
HY,DIFF,horizon,occasion,OBJECTION,HORIZON,1,0,more,2,2,121
HY,DIFF,replacement,null,CONNECTION,REPLACEMENT,1,0,more,2,0,122
HY,DIFF,dilemma,creation,DILEMMA,CREATION,1,1,both,3,2,123
HY,DIFF,effecient,performer,OFFICIAL,PERFORMER,0,1,more,2,2,124
HY,DIFF,vacation,banana,BANANA,FORMATION,0,1,less,2,3,125
HY,SIM,transition,null,POLLUTION,TRANSITION,1,0,more,2,0,126
HY,SIM,investor,conduct,PRODUCTION,INVESTOR,1,0,more,2,1,127
HY,SIM,collector,null,COLLECTOR,DEFENDER,1,0,less,3,0,128
HY,SIM,permission,vacation,DISTINCTION,PERMISSION,1,0,more,3,1,129
HY,SIM,idea,brutal,IDEA,REMOVAL,1,0,less,3,1,130
HY,SIM,information,employer,FORMATION,EMPLOYER,0,1,more,3,3,131
HY,SIM,instruction,null,INSTRUCTOR,CONCLUSION,0,0,none,2,0,132
HY,SIM,inspector,null,INSPECTOR,INSURANCE,1,0,less,1,0,133
HY,SIM,engagement,producer,PRODUCER,ENGAGEMENT,1,1,both,2,2,134
HY,SIM,perception,condition,CONDITION,RECEPTION,0,1,less,2,3,135
HY,SIM,intention,null,INTENTION,OBJECTION,1,0,less,2,0,136
HY,SIM,adjustment,attachment,CONNECTION,ADJUSTMENT,1,0,more,3,1,137
HY,SIM,invest,expression,EXPRESSION,INVESTMENT,0,1,less,1,2,138
HY,SIM,adventure,attention,REDUCTION,OFFENDER,0,0,none,3,1,139
HY,SIM,expression,instruction,IMPRESSION,DESTRUCTION,0,0,none,2,2,140
HY,SIM,banana,attendence,BANANA,ATTENDANCE,1,1,both,3,2,141
HY,SIM,perception,republic,PERCEPTION,REPUBLIC,1,1,both,3,3,142
HY,SIM,reception,assumption,EXAMPLE,ASSUMPTION,0,1,more,2,2,143
HY,SIM,attach,apartment,PROTECTION,APARTMENT,0,1,more,1,2,144
HY,SIM,alignance,null,EXCITEMENT,ALLIANCE,0,0,none,1,0,145
HY,SIM,impose,employment,PROPOSAL,EMPLOYMENT,0,1,more,2,3,146
HY,SIM,relation,frustration,FRUSTRATION,RELATION,1,1,both,2,3,147
HY,SIM,reporting,proportion,PROPORTION,RECORDING,0,1,less,3,3,148
HY,SIM,foundation,survival,FOUNDATION,SURVIVOR,1,0,less,3,3,149
HY,SIM,agreement,null,DISORDER,AGREEMENT,1,0,more,3,0,150
HY,DIFF,replacement,null,CONNECTION,REPLACEMENT,1,0,more,3,0,151
HY,SIM,attachment,apart,PROTECTION,APARTMENT,0,0,none,3,1,152
HY,DIFF,survival,adventure,ADVENTURE,SURVIVOR,0,1,less,3,3,153
HY,SIM,investor,conduct,PRODUCTION,INVESTOR,1,0,more,3,1,154
HY,SIM,perception,republic,PERCEPTION,REPUBLIC,1,1,both,3,3,155
HY,DIFF,efficient,performer,OFFICIAL,PERFORMER,0,1,more,3,3,156
HY,DIFF,vacation,banana,BANANA,FORMATION,0,1,less,2,3,157
HY,DIFF,correlation,relation,CONDITION,RELATION,0,1,more,2,2,158
HY,DIFF,location,null,CONFESSION,LOCATION,1,0,more,2,0,159
HY,DIFF,vacation,division,DIVISION,VACATION,1,1,both,2,2,160
HY,SIM,transition,null,POLLUTION,TRANSITION,1,0,more,3,0,161
HY,SIM,information,employer,FORMATION,EMPLOYER,0,1,more,3,3,162
HY,SIM,investor,expression,EXPRESSION,INVESTMENT,0,1,less,2,2,163
HY,SIM,intention,en,INTENTION,OBJECTION,1,0,less,3,1,164
HY,SIM,proportion,reporting,PROPORTION,RECORDING,1,0,less,3,3,165
HY,DIFF,donation,discussion,DESCRIPTION,DONATION,1,0,more,3,2,166
HY,DIFF,arise,occasion,OBJECTION,HORIZON,0,0,none,2,3,167
HY,SIM,alignance,obstentious,EXCITEMENT,ALLIANCE,0,0,none,2,1,168
HY,DIFF,attendance,admirer,ATTENDANCE,REMINDER,1,0,less,3,3,169
HY,DIFF,constraint,null,COMMISSION,FRUSTRATION,0,0,none,1,0,170
HY,DIFF,foundation,null,INVENTION,FOUNDATION,1,0,more,3,0,171
HY,DIFF,dilemma,creation,DILEMMA,CREATION,1,1,both,3,3,172
HY,SIM,idea,brutal,IDEA,REMOVAL,1,0,less,3,2,173
HY,SIM,adjustment,null,CONNECTION,ADJUSTMENT,1,0,more,3,0,174
HY,SIM,insurance,inspector,INSPECTOR,INSURANCE,1,1,both,3,1,175
HY,DIFF,expression,pleasure,EXPRESSION,BEHAVIOR,1,0,less,2,2,176
HY,DIFF,position,assigning,POSITION,DESIGNER,1,0,less,3,2,177
HY,SIM,adventure,attention,REDUCTION,OFFENDER,0,0,none,3,2,178
HY,DIFF,assistant,arrival,ASSISTANT,PROVIDER,1,0,less,3,1,179
HY,SIM,impose,employment,PROPOSAL,EMPLOYMENT,0,1,more,1,3,180
HY,SIM,foundation,survival,FOUNDATION,SURVIVOR,1,0,less,3,2,181
HY,SIM,attendance,banana,BANANA,ATTENDANCE,1,1,both,2,3,182
HY,SIM,collector,null,COLLECTOR,DEFENDER,1,0,less,3,0,183
HY,SIM,permission,station,DISTINCTION,PERMISSION,1,0,more,3,1,184
HY,DIFF,null,null,OBJECTIVE,PERFORMANCE,0,0,none,0,0,185
HY,DIFF,translation,null,DESTRUCTION,TRANSLATION,1,0,more,1,0,186
HY,SIM,relation,frustration,FRUSTRATION,RELATION,1,1,both,2,3,187
HY,SIM,instruction,expression,IMPRESSION,DESTRUCTION,0,0,none,2,1,188
HY,DIFF,outsider,extension,EXTENSION,OUTSIDER,1,1,both,2,2,189
HY,SIM,exception,reception,EXAMPLE,ASSUMPTION,0,0,none,1,1,190
HY,DIFF,requirement,null,PROFESSION,REQUIREMENT,1,0,more,3,0,191
HY,SIM,instruction,enclosure,INSTRUCTOR,CONCLUSION,0,0,none,1,1,192
HY,DIFF,survival,extinction,ADMISSION,SURVIVAL,1,0,more,3,1,193
HY,SIM,agreement,soldier,DISORDER,AGREEMENT,1,0,more,3,3,194
HY,SIM,condition,conduct,CONDITION,RECEPTION,1,0,less,3,1,195
HY,DIFF,intention,contagious,INTENTION,CONTAINER,1,0,less,2,1,196
HY,SIM,producer,engagement,PRODUCER,ENGAGEMENT,1,1,both,3,3,197
HY,DIFF,republic,deposit,DEPOSIT,REPORTING,0,1,less,1,1,198
HY,DIFF,suggestion,employer,SUGGESTION,EMPLOYER,1,1,both,2,2,199
HY,DIFF,arrangement,relation,COLLECTION,ARRANGEMENT,1,0,more,2,1,200
HB,DIFF,deformer,deformer,OFFICIAL,PERFORMER,0,0,none,1,1,201
HB,DIFF,banana,donation,BANANA,FORMATION,1,0,less,3,2,202
HB,DIFF,outsider,expenditure,EXTENSION,OUTSIDER,1,0,more,2,1,203
HB,DIFF,intention,null,INTENTION,CONTAINER,1,0,less,2,1,204
HB,SIM,companion,constitution,COMPANION,DISTINCTION,1,0,less,2,1,205
HB,DIFF,survival,expansion,ADVENTURE,SURVIVOR,0,0,none,2,1,206
HB,DIFF,alignment,null,COLLECTION,ARRANGEMENT,0,0,none,1,1,207
HB,DIFF,stantation,null,DESTRUCTION,TRANSLATION,0,0,none,1,1,208
HB,SIM,congesture,null,PROJECTION,INVESTOR,0,0,none,1,1,209
HB,SIM,approval,disproval,APPROVAL,DISORDER,1,0,less,1,1,210
HB,SIM,verbal,null,PRODUCER,OBSERVER,0,0,none,1,0,211
HB,DIFF,occasion,null,OBJECTION,HORIZON,0,0,none,1,2,212
HB,DIFF,location,null,CONFESSION,LOCATION,1,0,more,3,1,213
HB,SIM,instruction,importer,REPORTER,INSTRUCTOR,0,0,none,3,2,214
HB,SIM,frustration,vacation,VACATION,FRUSTRATION,1,1,both,2,1,215
HB,DIFF,reminder,attenders,ATTENDANCE,REMINDER,1,0,more,2,1,216
HB,DIFF,embellishment,replacement,CONNECTION,REPLACEMENT,0,1,more,1,3,217
HB,SIM,illusion,collision,COLLECTOR,ILLUSION,1,0,more,2,1,218
HB,DIFF,foundation,founder,INVENTION,FOUNDATION,1,0,more,3,1,219
HB,DIFF,reposit,null,DEPOSIT,REPORTING,0,0,none,3,1,220
HB,DIFF,frustration,commission,COMMISSION,FRUSTRATION,1,1,both,2,1,221
HB,DIFF,requirement,embed,PROFESSION,REQUIREMENT,1,0,more,3,1,222
HB,SIM,survival,null,SURVIVAL,ARRANGEMENT,1,0,less,2,2,223
HB,SIM,suggestion,position,POSITION,SUGGESTION,1,1,both,3,1,224
HB,SIM,reposal,cons,REPORTING,PROPOSAL,0,0,none,2,1,225
HB,SIM,transition,press,CONSUMPTION,TRANSITION,1,0,more,3,1,226
HB,DIFF,relation,range,CONDITION,RELATION,1,0,more,3,1,227
HB,DIFF,survival,assistant,ASSISTANT,PROVIDER,0,1,less,3,3,228
HB,SIM,collapse,selection,COLLECTION,SELECTION,0,1,more,1,3,229
HB,SIM,director,recruitment,AGREEMENT,DIRECTOR,1,0,more,2,1,230
HB,SIM,conduction,invention,INVENTION,REDUCTION,0,1,less,1,3,231
HB,DIFF,suggestion,null,SUGGESTION,EMPLOYER,1,0,less,3,3,232
HB,SIM,extension,accounting,ACCOUNTING,RESTRICTION,0,1,less,1,3,233
HB,SIM,excitement,recording,RECORDING,EXCITEMENT,1,1,both,2,3,234
HB,SIM,convention,adventure,ADVENTURE,DIRECTION,0,1,less,2,1,235
HB,SIM,resistance,convention,CONFESSION,RESISTANCE,1,0,more,1,2,236
HB,SIM,selective,perspective,RELIGION,PERSPECTIVE,0,1,more,2,3,237
HB,SIM,expansion,beginning,BEGINNING,EXPRESSION,0,1,less,1,3,238
HB,SIM,pervade,disaster,DISASTER,PROVISION,0,1,less,1,3,239
HB,SIM,relation,construction,CORRUPTION,CONSTRUCTION,0,1,more,1,3,240
HB,DIFF,adjective,pervade,OBJECTIVE,PERFORMANCE,0,0,none,2,1,241
HB,SIM,denial,decision,DENIAL,MUSICIAN,1,0,less,2,2,242
HB,SIM,represent,opponent,PROFESSOR,OPPONENT,0,1,more,2,3,243
HB,DIFF,relation,dilemma,DILEMMA,CREATION,0,1,less,3,2,244
HB,DIFF,donation,null,DESCRIPTION,DONATION,1,0,more,3,3,245
HB,DIFF,heavier,expression,EXPRESSION,BEHAVIOR,0,1,less,1,2,246
HB,SIM,reincarnation,information,INFLATION,ENCOUNTER,0,0,none,1,2,247
HB,DIFF,resume,position,POSITION,DESIGNER,0,1,less,1,3,248
HB,DIFF,division,vacation,DIVISION,VACATION,1,1,both,2,3,249
HB,DIFF,instruction,null,ADMISSION,SURVIVAL,0,0,none,1,3,250
